date,approval,who,unboundedpreceding_and_5preceding,unboundedpreceding_and_currentrow,unboundedpreceding_and_5following,unboundedpreceding_and_unboundedfollowing,5preceding_and_3preceding,5preceding_and_currentrow,5preceding_and_5following,5preceding_and_unboundedfollowing,currentrow_and_5following,currentrow_and_unboundedfollowing,5following_and_8following,5following_and_unboundedfollowing
2001-02-08,52,newsweek,null,52,327,3581,null,52,327,3581,327,3581,304,3304
2001-02-15,56,newsweek,null,108,409,3581,null,108,409,3581,357,3529,338,3254
2001-03-15,55,newsweek,null,163,495,3581,null,163,495,3581,387,3473,344,3172
2001-04-12,57,newsweek,null,220,581,3581,52,220,581,3581,418,3418,346,3086
2001-05-03,57,newsweek,null,277,665,3581,108,277,665,3581,445,3361,345,3000
2001-05-10,50,newsweek,52,327,753,3581,163,327,753,3581,476,3304,346,2916
2001-09-13,82,newsweek,108,409,841,3581,168,357,789,3529,514,3254,343,2828
2001-09-20,86,newsweek,163,495,926,3581,169,387,818,3473,517,3172,340,2740
2001-09-27,86,newsweek,220,581,1011,3581,164,418,848,3418,516,3086,340,2655
2001-10-04,84,newsweek,277,665,1096,3581,189,445,876,3361,515,3000,337,2570
2001-10-11,88,newsweek,327,753,1181,3581,218,476,904,3304,516,2916,333,2485
2001-10-18,88,newsweek,409,841,1266,3581,254,514,939,3254,513,2828,331,2400
2001-10-25,85,newsweek,495,926,1348,3581,256,517,939,3172,507,2740,320,2315
2001-11-01,85,newsweek,581,1011,1429,3581,258,516,934,3086,503,2655,309,2233
2001-11-08,85,newsweek,665,1096,1512,3581,260,515,931,3000,501,2570,301,2152
2001-11-15,85,newsweek,753,1181,1586,3581,261,516,921,2916,490,2485,288,2069
2001-11-29,85,newsweek,841,1266,1657,3581,258,513,904,2828,476,2400,282,1995
2001-12-06,82,newsweek,926,1348,1730,3581,255,507,889,2740,464,2315,276,1924
2001-12-13,81,newsweek,1011,1429,1800,3581,255,503,874,2655,452,2233,264,1851
2002-01-31,83,newsweek,1096,1512,1868,3581,255,501,857,2570,439,2152,264,1781
2002-03-21,74,newsweek,1181,1586,1933,3581,252,490,837,2485,421,2069,261,1713
2002-04-25,71,newsweek,1266,1657,1994,3581,248,476,813,2400,408,1995,257,1648
2002-05-16,73,newsweek,1348,1730,2064,3581,246,464,798,2315,407,1924,257,1587
2002-06-27,70,newsweek,1429,1800,2129,3581,238,452,781,2233,399,1851,247,1517
2002-07-11,68,newsweek,1512,1868,2190,3581,228,439,761,2152,390,1781,238,1452
2002-07-18,65,newsweek,1586,1933,2251,3581,218,421,739,2069,383,1713,232,1391
2002-08-28,61,newsweek,1657,1994,2311,3581,214,408,725,1995,378,1648,232,1330
2002-09-12,70,newsweek,1730,2064,2367,3581,211,407,710,1924,373,1587,225,1270
2002-09-26,65,newsweek,1800,2129,2422,3581,203,399,692,1851,358,1517,237,1214
2002-10-10,61,newsweek,1868,2190,2483,3581,194,390,683,1781,354,1452,253,1159
2002-10-24,61,newsweek,1933,2251,2536,3581,196,383,668,1713,346,1391,257,1098
2002-11-07,60,newsweek,1994,2311,2604,3581,196,378,671,1648,353,1330,265,1045
2003-01-16,56,newsweek,2064,2367,2675,3581,196,373,681,1587,364,1270,252,977
2003-01-23,55,newsweek,2129,2422,2740,3581,187,358,676,1517,373,1214,238,906
2003-02-06,61,newsweek,2190,2483,2801,3581,182,354,672,1452,379,1159,226,841
2003-03-13,53,newsweek,2251,2536,2856,3581,177,346,666,1391,373,1098,217,780
2003-03-27,68,newsweek,2311,2604,2913,3581,171,353,662,1330,377,1045,213,725
2003-04-10,71,newsweek,2367,2675,2966,3581,172,364,655,1270,362,977,208,668
2003-05-01,65,newsweek,2422,2740,3018,3581,169,373,651,1214,343,906,206,615
2003-05-29,61,newsweek,2483,2801,3069,3581,182,379,647,1159,329,841,205,563
2003-07-10,55,newsweek,2536,2856,3121,3581,192,373,638,1098,320,780,206,512
