Date,Time,State,State No,Scale,Injuries,Fatalities,Start Lat,Start Lon,Length,Width
1950-01-03,11:00:00,MO,1.0,3.0,3.0,0.0,38.77,-90.22,9.5,150.0
1950-01-03,11:00:00,MO,1.0,3.0,3.0,0.0,38.77,-90.22,6.2,150.0
1950-01-03,11:10:00,IL,1.0,3.0,0.0,0.0,38.82,-90.12,3.3,100.0
1950-01-03,11:55:00,IL,2.0,3.0,3.0,0.0,39.1,-89.3,3.6,130.0
1950-01-03,16:00:00,OH,1.0,1.0,1.0,0.0,40.88,-84.58,0.1,10.0
1950-01-13,05:25:00,AR,1.0,3.0,1.0,1.0,34.4,-94.37,0.6,17.0
1950-01-25,19:30:00,MO,2.0,2.0,5.0,0.0,37.6,-90.68,2.3,300.0
1950-01-25,21:00:00,IL,3.0,2.0,0.0,0.0,41.17,-87.33,0.1,100.0
1950-01-26,18:00:00,TX,1.0,2.0,2.0,0.0,26.88,-98.12,4.7,133.0
1950-02-11,13:10:00,TX,2.0,2.0,0.0,0.0,29.42,-95.25,9.9,400.0
1950-02-11,13:50:00,TX,3.0,3.0,12.0,1.0,29.67,-95.05,12.0,1000.0
1950-02-11,21:00:00,TX,4.0,2.0,5.0,0.0,32.35,-95.2,4.6,100.0
1950-02-11,23:55:00,TX,5.0,2.0,6.0,0.0,32.98,-94.63,4.5,67.0
1950-02-12,00:30:00,TX,6.0,2.0,8.0,1.0,33.33,-94.42,8.0,833.0
1950-02-12,01:15:00,TX,7.0,1.0,0.0,0.0,32.08,-98.35,2.3,233.0
1950-02-12,06:10:00,TX,8.0,2.0,0.0,0.0,31.52,-96.55,3.4,100.0
1950-02-12,11:57:00,TX,9.0,1.0,32.0,0.0,31.8,-94.2,7.7,100.0
1950-02-12,12:00:00,TX,10.0,3.0,15.0,3.0,31.8,-94.2,1.9,50.0
1950-02-12,12:00:00,MS,2.0,1.0,0.0,0.0,34.6,-89.12,2.0,10.0
1950-02-12,12:00:00,MS,1.0,2.0,2.0,3.0,34.6,-89.12,0.1,10.0
1950-02-12,12:30:00,AR,2.0,2.0,0.0,0.0,34.48,-92.4,0.1,100.0
1950-02-12,13:00:00,LA,1.0,4.0,77.0,18.0,31.97,-94.0,82.6,100.0
1950-02-12,13:20:00,LA,2.0,2.0,10.0,5.0,32.2,-93.58,58.4,100.0
1950-02-12,14:00:00,LA,4.0,3.0,25.0,5.0,31.63,-93.65,74.5,100.0
1950-02-12,14:20:00,LA,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-02-12,15:00:00,AR,3.0,2.0,0.0,0.0,33.27,-92.95,5.7,100.0
1950-02-12,23:00:00,LA,5.0,1.0,0.0,0.0,32.6,-91.33,0.5,33.0
1950-02-13,01:00:00,TN,1.0,1.0,8.0,0.0,35.35,-89.77,0.2,10.0
1950-02-13,02:00:00,TN,2.0,2.0,1.0,9.0,35.75,-89.48,0.2,10.0
1950-02-27,10:20:00,OK,1.0,2.0,0.0,0.0,35.55,-97.6,2.0,50.0
1950-03-01,02:30:00,MS,3.0,1.0,0.0,0.0,32.5,-88.85,0.1,10.0
1950-03-16,09:15:00,FL,1.0,2.0,0.0,0.0,29.65,-81.22,1.5,150.0
1950-03-19,07:30:00,LA,6.0,1.0,2.0,0.0,30.45,-93.45,2.0,33.0
1950-03-19,13:15:00,LA,7.0,2.0,0.0,0.0,30.1,-91.0,1.0,50.0
1950-03-19,13:15:00,LA,8.0,0.0,0.0,0.0,29.7,-90.1,18.1,27.0
1950-03-26,19:30:00,AR,4.0,2.0,3.0,0.0,34.12,-93.07,17.4,150.0
1950-03-26,19:31:00,AR,5.0,3.0,1.0,0.0,36.15,-91.83,5.7,200.0
1950-03-26,20:30:00,AR,6.0,2.0,7.0,0.0,34.7,-92.35,10.4,600.0
1950-03-26,21:15:00,AR,7.0,3.0,20.0,0.0,34.98,-91.73,14.9,1760.0
1950-03-26,23:30:00,AR,8.0,2.0,2.0,0.0,35.1,-91.4,5.4,833.0
1950-03-27,03:00:00,OK,2.0,2.0,0.0,0.0,34.85,-95.75,0.1,77.0
1950-03-27,05:00:00,MS,6.0,2.0,2.0,1.0,33.17,-90.55,0.1,10.0
1950-03-27,06:00:00,LA,9.0,1.0,2.0,0.0,32.63,-91.28,15.3,17.0
1950-03-27,07:30:00,MS,7.0,2.0,0.0,0.0,33.13,-89.57,11.9,10.0
1950-03-27,07:45:00,MS,5.0,2.0,6.0,0.0,32.28,-90.27,31.9,50.0
1950-03-27,07:45:00,MS,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-03-27,07:45:00,MS,4.0,2.0,7.0,0.0,32.28,-90.27,59.3,50.0
1950-03-27,07:45:00,MS,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-03-27,08:30:00,LA,10.0,1.0,0.0,0.0,30.92,-91.13,0.5,27.0
1950-03-27,08:45:00,MS,9.0,2.0,0.0,0.0,33.67,-88.78,4.7,10.0
1950-03-27,11:00:00,MS,8.0,1.0,2.0,0.0,34.73,-88.27,0.1,10.0
1950-03-27,15:00:00,TN,3.0,1.0,0.0,0.0,35.68,-85.77,0.2,10.0
1950-03-27,16:30:00,IL,4.0,2.0,0.0,0.0,40.57,-88.6,3.0,50.0
1950-04-02,15:30:00,AR,9.0,3.0,8.0,1.0,35.75,-91.22,2.5,10.0
